Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"Gould, Mr. Barry",29/03/2017,,Lisbon,EXTERNAL MEETING,,,Hotel (Foreign) Standard- One- Double,,73.70,,Redfern
"Gould, Mr. Barry",29/03/2017,,Lisbon,SUPPLIER VISIT,Air Tickets,Economy,,,320.86,,Redfern
"Gould, Mr. Barry",29/03/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Kershaw, Mr. Stephen Edward",29/03/2017,,Birmingham,EXTERNAL MEETING,,,Hotel Executive Deluxe One Bedroom Suite,,90.60,,Redfern
"Kershaw, Mr. Stephen Edward",29/03/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,97.55,,Redfern
"Lloyd, Ms. Myrtle",29/03/2017,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Lloyd, Ms. Myrtle",29/03/2017,,,Taxi from Chester station to home,Taxis,,,,7.70,,
"O'brien, Mr. John",29/03/2017,,,Regional office visit,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,57.10,,
"Arnott, Dr. Robert Henry",30/03/2017,,,2MS to Aus Hse - cohesion / radicalisation,Taxis,,,,16.28,,
"Arnott, Dr. Robert Henry",30/03/2017,,,Aus Hse to 2MS (return trip),Taxis,,,,11.00,,
"Gould, Mr. Barry",30/03/2017,,London Luton,EXTERNAL MEETING,Web Transaction,,,,39.08,,Redfern
"Lincoln, Mr. Paul Michael",30/03/2017,,,"Taxi from Coventry Station to CoP, Ryton",Taxis,,,,15.30,,
"Lincoln, Mr. Paul Michael",30/03/2017,,,Taxi from CoP Ryton to Coventry,Taxis,,,,15.30,,
"Lincoln, Mr. Paul Michael",30/03/2017,,,Car Parking in Princes Risboro Station,T&S - Subsistence,,,,7.00,,
"Lincoln, Mr. Paul Michael",30/03/2017,,Coventry,EXTERNAL MEETING,Rail,Standard,,,28.55,,Redfern
"Lincoln, Mr. Paul Michael",30/03/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,83.65,,Redfern
"Lincoln, Mr. Paul Michael",30/03/2017,,Princes Risborough,EXTERNAL MEETING,Rail,Standard,,,22.05,,Redfern
"Oppenheim, Mr. Jeremy",30/03/2017,,,Taxi from home to Euston Station to catch train to Liverpool to attend DBS Board meeting. (Train left London Euston at 05:27),Taxis,,,,22.60,,
"Oppenheim, Mr. Jeremy",30/03/2017,,,Taxi from London Euson to 2MS on return from visit to Liverpool (DBS Board meeting).,Taxis,,,,26.80,,
"Oppenheim, Mr. Jeremy",30/03/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,210.90,,Redfern
"Sutton, Mr. Kenneth David",30/03/2017,,Bridgend,EXTERNAL MEETING,Rail,Standard,,,234.50,,Redfern
"Sutton, Mr. Kenneth David",30/03/2017,,London Zones 1-4,EXTERNAL MEETING,Rail,Standard,,,12.80,,Redfern
"Arnott, Dr. Robert Henry",31/03/2017,,,Late working,Taxis,,,,20.62,,
"Clarke, Mr. Richard William John",31/03/2017,,Wellington,EXTERNAL MEETING,Air Tickets,Business,,,2.16,,Redfern
